date,settle,price_pos,trailing_yoy,buy_signal
2014-04-30,105.55,1.0,0.038060582218725214,0.0
2014-05-31,102.99,0.9009433597226413,0.03846526147665941,0.0
2014-06-30,98.91,0.7430718392806012,0.08949116323641992,0.0
2014-07-31,101.79,0.8545105595926299,0.06914407554066426,0.0
2014-08-31,100.25,0.7949217994257811,0.0663657086571876,0.0
2014-09-30,100.52,0.8053691794550337,0.14517861801594267,0.0
2014-10-31,104.7,0.9671100999079085,0.2508960573476702,0.0
2014-11-30,103.06,0.8602693602693605,0.29299853712760116,0.0
2014-12-31,99.67,0.6700336700336702,0.1340311753328023,0.0
2015-01-31,98.01,0.21865284974093277,0.11717770432007302,1.0
2015-02-28,98.36,0.04641909814323537,0.025651720542231526,1.0
2015-03-31,92.16,0.0,-0.1253677517319921,1.0
2015-04-30,92.06,0.0,-0.12780672666982473,1.0
2015-05-31,87.56,0.0,-0.14982037090979705,1.0
2015-06-30,90.25,0.15694282380396718,-0.08755434233141235,1.0
2015-07-31,87.12,0.0,-0.14412024756852349,1.0
2015-08-31,85.78,0.0,-0.14433915211970072,1.0
2015-09-30,81.5,0.0,-0.18921607640270588,1.0
2015-10-31,82.78,0.05936920222634513,-0.20936007640878707,1.0
2015-11-30,81.74,0.013208585580627125,-0.20686978459150018,1.0
2015-12-31,79.28,0.0,-0.20457509782281524,1.0
2016-01-31,74.71,0.0,-0.23773084379144993,1.0
2016-02-29,74.04,0.0,-0.24725498169987792,1.0
2016-03-31,75.6,0.08657047724750214,-0.1796875,1.0
2016-04-30,80.18,0.3787785317705122,-0.12904627416902015,0.0
2016-05-31,83.93,0.6101172115977794,-0.041457286432160734,0.0
2016-06-30,85.94,0.909785932721712,-0.04775623268698059,0.0
2016-07-31,90.82,1.0,0.04247015610651972,0.0
2016-08-31,91.79,1.0,0.07006295173700172,0.0
2016-09-30,96.88,1.0,0.18871165644171772,0.0
2016-10-31,103.65,1.0,0.25211403720705494,0.0
2016-11-30,103.72,1.0,0.26890139466601415,0.0
2016-12-31,101.85,0.9369946091644203,0.28468718466195764,0.0
2017-01-31,108.32,1.0,0.4498728416543971,0.0
2017-02-28,106.49,0.9440709046454768,0.4382766072393298,0.0
2017-03-31,106.73,0.9434968017057573,0.411772486772487,0.0
2017-04-30,103.58,0.8056580565805659,0.2918433524569717,0.0
2017-05-31,98.36,0.5549597855227884,0.17192898844274973,0.0
2017-06-30,101.95,0.6360000000000006,0.18629276239236692,0.0
2017-07-31,104.94,0.795523290986086,0.15547236291565736,0.0
2017-08-31,104.52,0.667832167832168,0.13868613138686126,0.0
2017-09-30,99.18,0.08232931726907709,0.02374071015689516,1.0
2017-10-31,98.39,0.0030120481927712003,-0.0507477086348288,1.0
