date,price_pos_52w,price_pos_78w,price_pos_104w,stu_wmt,oni_lag0,oni_lag6,oni_lag12,oni_lag15,oni_lag18,oni_lag24,spi3_nolook,flowering_drought_nolook,cot_index,rv_daily,rv_monthly
2015-07-31,0.0,0.0,0.2032769909262163,21.356409631375097,1.25,0.77,0.23,-0.14,-0.15,-0.34,-1.3987994375127544,1.3987994375127544,10.40372078838016,1.1025637053080186,0.054074354836963656
2015-08-31,0.0,0.0,0.15514594254116715,21.356409631375097,1.57,0.69,0.1,0.15,-0.28,-0.35,-1.3987994375127544,1.3987994375127544,20.790921682995947,3.3168097188545778,0.05552436279212839
2015-09-30,0.01186057017878255,0.009696914210464185,0.16333841985670802,21.356409631375097,1.91,0.61,0.11,0.31,-0.32,-0.28,-1.3987994375127544,1.3987994375127544,11.46861855565298,2.260276255319887,0.05541592768600141
2015-10-31,0.006051345716885444,0.00531906798825679,0.11530168746087689,21.356409631375097,2.21,0.65,0.28,0.23,-0.14,-0.21,-1.3987994375127544,1.3987994375127544,21.19121141651735,2.224640964069689,0.054639460489533075
2015-11-30,0.0,0.0,0.06713594117890026,21.356409631375097,2.47,0.81,0.54,0.1,0.15,-0.13,-1.3987994375127544,1.3987994375127544,14.856467538408753,2.2814654560789007,0.05574749252737069
2015-12-31,0.2177777129750086,0.12428656451502273,0.11375502320124092,24.747246521478143,2.64,1.02,0.71,0.11,0.31,-0.1,-1.2909020116664998,1.2909020116664998,19.614196942548897,1.5053235474225468,0.049314340130412436
2016-01-31,0.0,0.0,0.0,24.747246521478143,2.75,1.25,0.77,0.28,0.23,-0.15,-1.2909020116664998,1.2909020116664998,8.03883445795687,1.742150438788037,0.055757720447694004
2016-02-29,0.0,0.0,0.0,24.747246521478143,2.63,1.57,0.69,0.54,0.1,-0.28,-1.2909020116664998,1.2909020116664998,25.529589671254115,1.7228653022736928,0.028300449768202535
2016-03-31,0.6192466308563985,0.19641666519006426,0.16371676075831132,24.747246521478143,2.28,1.91,0.61,0.71,0.11,-0.32,-1.2909020116664998,1.2909020116664998,71.26428017739825,1.8148567526550452,0.04272196285888757
2016-04-30,0.45555557910307953,0.11081078099542366,0.09867625871011082,24.747246521478143,1.71,2.21,0.65,0.77,0.28,-0.14,-1.2909020116664998,1.2909020116664998,48.560863100911135,1.481772837103246,0.0448153562963723
2016-05-31,0.4944447387884932,0.16496757684369331,0.10709989999158087,24.747246521478143,1.05,2.47,0.81,0.69,0.54,0.15,-1.2909020116664998,1.2909020116664998,33.90771733191008,1.2513750695408035,0.03857303524501683
2016-06-30,1.0,0.638578872073236,0.37845974915909103,20.88709998275931,0.49,2.64,1.02,0.61,0.71,0.31,-1.2909020116664998,1.2909020116664998,76.89121014575629,3.108330723513127,0.06630636634019194
2016-07-31,1.0,1.0,0.4037303975740912,20.88709998275931,0.0,2.75,1.25,0.65,0.77,0.23,-1.2909020116664998,1.2909020116664998,82.8180397239907,1.748532615420009,0.06473398738651893
2016-08-31,0.9910580300241162,0.9910580300241162,0.4120197086063065,20.88709998275931,-0.31,2.63,1.57,0.81,0.69,0.1,-1.2909020116664998,1.2909020116664998,82.17249310612125,0.9237551466698339,0.06327536534062102
2016-09-30,1.0,1.0,0.5162574958676222,20.88709998275931,-0.5,2.28,1.91,1.02,0.61,0.11,-1.2909020116664998,1.2909020116664998,97.5499115491534,1.2575251075516556,0.06467517650235845
2016-10-31,1.0,1.0,0.6959459145979919,20.88709998275931,-0.58,1.71,2.21,1.25,0.65,0.28,-1.2909020116664998,1.2909020116664998,100.0,1.0636644544342353,0.07104269075757369
