date,settle,price_pos,buy_signal,trailing_yoy,fwd_6m,fwd_12m,fwd_18m,fwd_24m
2010-02-28,129.0500030517578,0.5711087006891574,0.4288912993108426,0.17907726496131637,0.3700116146517951,1.1053855542960438,1.2402169644859824,0.5741959635212672
2010-03-31,136.14999389648438,0.6703145126966291,0.3296854873033709,0.17624184791779163,0.34447309039860685,0.940139594110589,0.6812339637012277,0.3400661412218642
2010-04-30,135.1999969482422,0.6378829467914459,0.36211705320855414,0.17565214737601909,0.5048077037022991,1.2141273140569226,0.6786242756730543,0.31619823198935215
2010-05-31,134.25,0.6114206317564782,0.3885793682435218,-0.022925720789023774,0.49683424170012813,0.9709497661341946,0.7415270245940992,0.19664799922893383
2010-06-30,164.1999969482422,0.9488116415361557,0.051188358463844286,0.39982943458057774,0.46467725012082983,0.6160171195810504,0.3815469568797951,0.03593184692404838
2010-07-31,176.3000030517578,1.0,0.0,0.37895975874762167,0.38854225078992144,0.35876346514543833,0.2197957988045176,-0.010777136258560582
2010-08-31,176.8000030517578,0.9238171686444764,0.07618283135552362,0.4623655981833332,0.5367647484004379,0.6351810017722808,0.1490384071826778,-0.0692873291207684
2010-09-30,183.0500030517578,0.8410448672166512,0.15895513278334883,0.4323161086124878,0.44304829004452606,0.25047795728122635,-0.003277826241532278,-0.052171553633121315
2010-10-31,203.4499969482422,1.0,0.0,0.5014759922379497,0.4713689387750173,0.115507497431806,-0.1253379227451511,-0.23986239264566112
2010-11-30,200.9499969482422,0.8198096809880112,0.1801903190119888,0.4176366627741954,0.3167455094396816,0.16347353372678408,-0.20054741808300558,-0.29285887901697405
2010-12-31,240.5,1.0,0.0,0.7690327723329133,0.10332642870484676,-0.056756731378313385,-0.2927234673450494,-0.4020789893897804
2011-01-31,244.8000030517578,0.9982949962230271,0.0017050037769729132,0.8587699979064061,-0.021446078164018667,-0.12152777626277234,-0.287581733160309,-0.3997140722372756
2011-02-28,271.70001220703125,0.9869640219757958,0.013035978024204198,1.1053855542960438,0.06404119659452157,-0.2523003873047779,-0.3943688050835521,-0.4749724420778191
2011-03-31,264.1499938964844,0.8171100295267727,0.1828899704732273,0.940139594110589,-0.13344690825097594,-0.30929395735764786,-0.34317621045264335,-0.48078744249287775
2011-04-30,299.3500061035156,1.0,0.0,1.2141273140569226,-0.2418573832607086,-0.40554537056963735,-0.4833806890152319,-0.5491899308611462
2011-05-31,264.6000061035156,0.7654249670754744,0.23457503292452564,0.9709497661341946,-0.11640212525055038,-0.3928571799290299,-0.46296295228381856,-0.5198412693835922
2011-06-30,265.3500061035156,0.7352745019496321,0.26472549805036794,0.6160171195810504,-0.14509138539450717,-0.3589598560734234,-0.4580742425321067,-0.5477671104586792
2011-07-31,239.5500030517578,0.5358665020566855,0.4641334979433145,0.35876346514543833,-0.10227509784129063,-0.27196830860067633,-0.3865581503812723,-0.5049050429421366
